2020-09-19 00:42:22.210 [main] INFO  book.Books2 - Starting Books
2020-09-19 00:42:22.212 [main] INFO  book.Books2 - 2020-09-19T07:42:22.212111200Z
2020-09-19 00:42:22.220 [main] DEBUG book.db.Database - Loading database properties from db.properties
2020-09-19 00:42:22.223 [main] DEBUG book.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2020-09-19 00:42:22.841 [main] DEBUG book.db.Database - Database connected
2020-09-19 00:42:22.987 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWCustomer
2020-09-19 00:42:23.023 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWBook
2020-09-19 00:42:23.072 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWPurchase
2020-09-19 00:42:23.073 [main] DEBUG book.Books2 - Creating the UI
2020-09-19 00:42:23.133 [main] INFO  book.Books2 - 2020-09-19T07:42:23.133110700Z
2020-09-19 00:42:23.134 [main] INFO  book.Books2 - Duration: 920 ms
2020-09-19 00:42:23.135 [main] INFO  book.Books2 - Books has stopped
2020-09-19 00:42:23.135 [AWT-EventQueue-0] DEBUG book.Books2 - Setting the Look & Feel
2020-09-19 00:42:23.533 [AWT-EventQueue-0] DEBUG book.ui.MainFrame - Creating the MainFrame
2020-09-19 00:42:23.535 [AWT-EventQueue-0] DEBUG book.db.CustomerDao - SELECT id FROM A00855225_NEWCustomer
2020-09-19 00:42:23.557 [AWT-EventQueue-0] DEBUG book.db.CustomerDao - Loaded 98 customer IDs from the database
2020-09-19 00:42:25.012 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT id FROM A00855225_NEWBook
2020-09-19 00:42:25.028 [AWT-EventQueue-0] DEBUG book.db.BookDao - Loaded 499 books IDs from the database
2020-09-19 00:42:25.029 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 1
2020-09-19 00:42:25.047 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 2
2020-09-19 00:42:25.061 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 3
2020-09-19 00:42:25.075 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 4
2020-09-19 00:42:25.088 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 5
2020-09-19 00:42:25.103 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 6
2020-09-19 00:42:25.116 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 7
2020-09-19 00:42:25.130 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 8
2020-09-19 00:42:25.143 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 9
2020-09-19 00:42:25.157 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 10
2020-09-19 00:42:25.171 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 11
2020-09-19 00:42:25.186 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 12
2020-09-19 00:42:25.205 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 13
2020-09-19 00:42:25.219 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 14
2020-09-19 00:42:25.233 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 15
2020-09-19 00:42:25.248 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 16
